name
Dahl Centennial Union
Bentdahl Commons
CFL
Valders
Sampson Hoffland Lab
Franklin W
Preus Library
Jenson-Noble
Sperati Guest House
CFA
Brandt Hall
Campus House
Koren
Larsen Hall
Loyalty Hall
Main
Farwell Hall
Carlson Stadium
Tennis Courts
Baseball Field
Softball Field
Soccer Pitch
Challenge Course
The Regents Center
Aquatic Center
Miller and Dieseth Halls
Ylvisaker Hall
Solar Array
Baker Village
Anderson Prairie
Campus Apartments
Olson Hall
Ockham House
Olin
Rochester
