name,link
Accounting,accounting
Africana Studies,africana-studies
Allied Health Sciences,allied-health-sciences
Applied Leadership Studies,applied-leadership-studies
Asian Studies,asian-studies
Anthropology,anthropology
Art,art
Art History,art-history
Biblical Languages,biblical-languages
Biology,biology
Chemistry,chemistry
Chinese,chinese
Classics,classics
Communication Studies,communication-studies
Computer Science,computer-science
Dance,dance
Data Science,data-science
Economics,economics
Education,education
English,english
Environmental Studies,environmental-studies
Exercise Science,exercise-science
Foreign Culture,foreign-culture
French,french
German,german
Health Promotion,health-promotion
History,history
International Business,international-business
International Studies,international-studies
Journalism,journalism
Linguistics,linguistics
Management,management
Mathematics,mathematics
Museum Studies,museum-studies
Music,music
Musical Theatre,musical-theatre
Neuroscience,neuroscience
Nordic Studies,nordic-studies
Nursing,nursing
Paideia,paideia
Philosophy,philosophy
Physics,physics
Political Science,political-science
Psychology,psychology
Religion,religion
Social Work,social-work
Sociology,sociology
Spanish,spanish
Theatre,theatre
Visual Communication,visual-communication
Women and Gender Studies,women-gender-studies
