name,building
Africana Studies,16
Biology,5
Chemistry,5
Classics,33
Communication Studies,12
Computer Science,34
"Economics, Accounting & Management",34
Education,13
English,16
Environmental Studies,4
Health & Physical Education,24
History,13
International Studies,16
Library & Information Studies,7
Mathematics,34
"Modern Languages, Literatures and Linguistics",16
Music,8
Nursing,35
Paideia,16
Philosophy,33
Physics,4
Political Science,13
Psychology,4
Religion,33
"Sociology, Anthropology, Social Work",13
Visual & Performing Arts,10
Women and Gender Studies,16
