name,department
Accounting,8
Africana Studies,12
Allied Health Sciences,17
Asian Studies,16
Anthropology,9
Art,2
Art History,2
Biblical Languages,13
Biology,3
Chemistry,23
Chinese,7
Classical Studies,13
Classics,13
Communication Studies,14
Computer Science,11
Dance,2
Data Science,11
Economics,8
Education,10
English,21
Environmental Studies,22
Exercise Science,17
Foreign Culture,7
French,7
German,7
Health Promotion,17
History,6
International Business,16
International Studies,16
Journalism,7
Linguistics,7
Management,8
Mathematics,4
Mathematics/Statistics,4
Museum Studies,6
Music,25
Musical Theatre,2
Neuroscience,3
Nordic Studies,7
Nursing,24
Paideia,26
Philosophy,27
Physics,18
Political Science,19
Psychology,1
Religion,15
Social Welfare,9
Social Work,9
Sociology,9
Spanish,7
Theatre,2
Visual Communication,2
Women and Gender Studies,20
